message, target,new_label
u have gay hero,2,banter
haters,0,neutral
fuck this game,1,banter
wtf ur mom came back my ,2,banter
fuck your mother in teh asshole,2,toxic
fucking apes,2,banter
after this game,0,neutral
lc u r such a shit eater,2,banter
riki got a fuciking fly ,1,banter
a fuckcing fly on riki this game ,1,banter
my team pause sorry,0,neutral
can we go next ,0,neutral
go to this whore,2,banter
u understand that if by some miracle,0,neutral
with your mom,2,banter
throne,0,neutral
did i fucked your mother  ,2,toxic
incompetenct cores blaming support,0,banter
piece of trash,2,banter
pussy bitch,2,banter
medalion or force,0,neutral
ching chong wanna be,2,toxic
that doesn count,0,neutral
wtf u talkin about ,1,banter
stuid team,2,banter
suck,0,banter
seriously can you guys just end this shit,1,banter
jugger playing world of warcraft killin creeps,0,banter
i m divine   but i m fucking u in the ass xd,2,banter
this invo is so trash,2,banter
no buy still come out farm,0,neutral
dont rat man its so loserish,0,neutral
imagine thinking u can go offlane wk first item fucking radiance lol,1,banter
it seems your mom didnt breastfeed you yesterday,2,toxic
i cant understand that shit,1,banter
you guys are tired,0,neutral
beast u smell penis with cheese ,2,banter
another notch,0,neutral
if you re playin  me  keep it on the low cause my heart can t take it anymore,0,neutral
fuckin pl pickers,1,banter
get in the photo,0,neutral
our noob pa will farm till next year,2,banter
i want to try but  i dont have persona,0,neutral
nice csing dog,2,neutral
with the rotation bot,0,neutral
ill just slit your throat,2,toxic
depression is for pussies,1,toxic
let me see how good of a server u have ape ,2,toxic
so when you masturbate to sleep  do you press your knees together or wide apart like your asshole is ready to get reamed apart ,2,toxic
your morons were worse than our morons,2,banter
btch,1,banter
where swm,0,neutral
opinions on powell s increase in rates  ,0,neutral
ogre alone is raping them,1,banter
cant hit us,0,neutral
report pudge and zeus total retards,2,banter
fuck this broodmama,2,banter
when hes learning hero,0,neutral
highlight,0,neutral
this mothfecfucker primal tp mid,1,banter
puck are you done with your acrobatics ,0,neutral
he prob gay,2,banter
sry for the waste of time    what a sht game ,1,neutral
sorry  i had a father in my life,0,toxic
cant believe the cumback,1,banter
boring,0,neutral
grey screen,0,neutral
bh reported for griefing,0,neutral
benched for a reason,0,banter
pa is crying cos got raped on top,2,banter
damn ember you are pretty heavy to be allchatting,1,neutral
you are so retarded and bad,2,banter
u boys are playing like its ti,0,banter
we can tell,0,neutral
zzzz we have another depressive kiddo here,2,toxic
its literally just a game,0,neutral
but still noob,1,banter
he s dead,0,neutral
use battlefury jugg,0,neutral
clown    ,0,banter
my rubick is an impulsive son of whore whose mom dropped him at birth,2,toxic
wioth ur dogshit meepo ,2,banter
and still fuck u easly,1,banter
i only kill him twice lol,0,neutral
suck dick bitch,2,banter
otucarrying rank  ,0,neutral
rosh all towers,0,neutral
stop playing u retards,2,banter
and he cry like a dog,2,banter
this idiot cant fucking use  spells together,2,banter
wtf is this,1,banter
sf and nyx suck,2,banter
surewin,0,neutral
i needed tha rune man   ,0,neutral
does eljean know your a faggot ,2,toxic
thank god i didnt have lastpick this game so pink is stuck with you puck,0,neutral
thats a nice streak  would be a shame if you lost it,0,banter
fak how do u use this,1,banter
lycan and silencer,0,neutral
china gonna rule the world,0,banter
eziest game of my fucking life,1,banter
dickhead moron,2,banter
bbc for you this game,0,banter
can u fuck off ,1,banter
the fucking difference is when i target cm we win the fight,1,banter
even when he is thanking me,0,neutral
the machine,0,neutral
u should try maybe meepo,0,banter
the last pick uyndying,0,neutral
because none of u idiots were there,1,banter
what a noob sniper,2,banter
learn english,0,banter
muslim son of whore like u ,2,toxic
noob core ff underlord with vanguard xaxa,2,banter
every fucking game,1,banter
won for u,0,neutral
ty bro,0,neutral
how the fuck,1,banter
stfu tree,1,banter
why no money idiot  ,1,banter
afk is choice,0,neutral
party with eazy heart or ruin,0,neutral
i hope your cock werks,2,banter
and report morf,0,neutral
i fuck your dad,2,banter
wtf comback,1,banter
nobody to follow up ,0,neutral
waste my csgo time,0,neutral
in chrono,0,neutral
carried by kka ,0,neutral
feeding,0,banter
is fucking u ,1,banter
the loudest are always the foolish,0,banter
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1,banter
account buyer dog,2,banter
this idiot chasing bs,2,banter
wtf is that radius,1,banter
our noob timber ,2,banter
too many apes,2,banter
want some ethereal ,0,neutral
eat my entire ass,2,banter
who was the noob  bh ,1,banter
hope your retarded mother dies in front of your eyes,2,toxic
stupid bitch woman cm,2,banter
why bro ,0,neutral
this idiot,1,neutral
pa fed   kills though,0,neutral
whos gonna carry the retards,1,banter
unpause ,0,neutral
wtf sk think he is,1,banter
ok then,0,neutral
we wait for sf ,0,neutral
your mother takes my banana,2,banter
fuck that guy,1,banter
cant support thsi shit noob teammates,2,banter
he s a greedy bastard   ,1,banter
who,0,neutral
fk u play ur rank cunt,2,banter
first win,0,neutral
as a whole,0,neutral
enjoy this treads dog pos  with you next,2,neutral
ass hole spotted,2,banter
from the lane,0,neutral
clinkz is trash,2,banter
  morons atacking pudge non stop,1,banter
nice actor chingchong,2,banter
i was just tryna chill man wtf lol,1,banter
two aghs,0,neutral
pick pa again and u lose idiot,2,banter
exactly  be quiet then,0,neutral
did you try one shotting your parents dissapointment ,1,banter
