message, target,new_label
can t win alone,0,banter
buy more hearts rofl,0,banter
no one ever gives up,0,neutral
tower ,0,neutral
too much brain,q0,banter
say one thing,0,neutral
why u guys so smell and poor country  ,2,toxic
i thougt we were friends ,0,neutral
basic,0,neutral
report void and qop,0,banter
he is best shittalker au,1,banter
why crying   ,0,banter
really retard,1,toxic
got fucked by  k scrub,2,banter
report sf ty,0,banter
wahtthefc,1,banter
id stick my cock so far up your ass,2,toxic
its a team game,0,neutral
oh crap ,0,neutral
any cores ,0,neutral
not with ursa,0,neutral
lobby  ,0,neutral
fk this,1,banter
i dont understand whats happening,0,neutral
trash offlane,2,banter
dont cry here too,0,banter
seafood,0,neutral
cock and ball torture,1,banter
end ur mother noob,2,toxic
i prefer to farm cock,1,banter
we got more out of it,0,neutral
yes sht counts,1,banter
hello cringe shit,1,banter
this shit lookin like a      nadcl lobby,1,banter
what teh fuck,1,banter
u happy now ,0,neutral
goated supports,0,neutral
tell sf his girlfriend ugly as shit,2,toxic
chain frost is really good btw,0,neutral
fucking trash,2,banter
whore,2,toxic
maledick to small,1,banter
fucking ape,1,toxic
hard to lose vs  ,0,neutral
basically playing ck with ck spells,0,neutral
youre playing a pussy hero and im free farming lol,1,banter
i need to go,0,neutral
anime monkey chinese,2,toxic
whos scared now,0,banter
one second i will bye blink and fuck your team,1,banter
thats what you think,0,neutral
is pl supp ,0,neutral
sorry  what morons ,1,banter
what a toxic cunt,2,toxic
was gonna report am,0,neutral
trash loser,2,banter
wow insane u can ultfor a brown boots underleveled slark,0,banter
razor seems to be mad at me ,0,neutral
blink come but dunno ulti,0,neutral
full force,0,neutral
worthless bot,2,banter
wait bro ill fuck u in dpc someday not just in pub,1,banter
hello there,0,neutral
and cool bm,0,neutral
this ss is ass,2,banter
we are coming ,0,neutral
i want your cold cunt,1,toxic
i fuck ur m other too tevhies,2,toxic
i hope hitler comes back and decides he hates chinese people instead,2,toxic
low shit eng,1,banter
they cant stand   sec,0,neutral
stop it mother fuckers,1,banter
he s noob anyway,1,banter
fuck off,1,banter
can we  end ,0,neutral
literally bad too lmfao,0,banter
why her nose is so big,2,toxic
he nt coming back he bitching about the lane,1,banter
this axe  not even once single time bot,0,banter
yaaaaa we was baiting yr mom to sleep with yr mouse ,2,toxic
its my   k game,0,neutral
need pos  ,0,neutral
like it s annyoing when two assholes won t communicate,0,banter
you guys are fkn shit man,1,banter
or jungle walker,0,neutral
dumb fucking team,2,banter
muted ,0,neutral
we dont have a  ,0,neutral
so we wait for you but not us ey ,0,neutral
wtf i can see ur tp,1,neutral
void you are really noob,2,banter
in her asshole,2,toxic
i am sucking mega cock with pos  ,2,banter
are u guys trash like the last team we faced ,1,banter
good game  clothes,0,neutral
surely right,0,neutral
why so easy,0,banter
asshole,2,banter
he leave,0,neutral
carry or ruin   ,0,neutral
and raped,1,toxic
every match of dota,0,neutral
us east moment,0,banter
piece of shit,2,toxic
ok i micro snap and my hero,0,neutral
you pick me you arldy win this game,0,neutral
why mkb btw ,0,neutral
all the space still no impact,0,banter
thats the issue,0,neutral
i got a brain dead player in here,2,banter
wont change shit,1,neutral
is retard palyer xd,1,toxic
sell items ,0,neutral
gotta love playing with retards,2,toxic
for   core,0,neutral
nob team,2,banter
profet,0,neutral
i wont play ,0,neutral
trashplayers,2,banter
primal and od are foating  k collectivley,0,neutral
guys your base,0,neutral
fatally bonded,0,neutral
pugna  how copme you killed yoursefl,0,neutral
and the poison,0,neutral
tard timber,1,toxic
u bought   too though ,0,neutral
hydrate u lil pricks ,2,banter
ready,0,neutral
okay final offer  invite me to discord and we ll  v  these losers,2,banter
i always love that everygame i play against a   stack and have to put up with   russian retards,2,toxic
that mad,0,neutral
play with brain bro,0,banter
fuck bort,2,banter
trash ursa we have bro balance,2,banter
they let am farm  they farm,0,neutral
basic game,0,neutral
hold on sunshine,0,neutral
report witch nobb,2,banter
my girl ur nothing,0,toxic
mother fucker,2,banter
fked up pos me and spec,1,banter
that just happened,0,neutral
report the peruvians,0,toxic
first was on rune,0,neutral
what a transgression,0,neutral
is indian waiting for a comeback,0,toxic
please end ,0,neutral
g throne,0,neutral
piece of shit,2,toxic
if you try and talk the entire game to make friends  you are a loser  ,2,banter
cause he is benig a whiny baby,0,banter
couldnt possible be shit skill,1,banter
cant win game,0,banter
guys trust me report please,0,banter
kil the support,0,banter
throne,0,neutral
sea best carry,0,neutral
fucking hell,1,banter
yeahhh this is fucked,1,banter
you baby on lp,0,banter
fair enough man,0,neutral
for my team copming bitch,1,banter
with these retards,1,toxic
first time win loser   ,2,banter
is fcking good,1,neutral
party with purpubl  ,0,neutral
sry he is tard,1,toxic
whip it out,0,banter
team is afk,0,neutral
fuck putin btw,1,banter
ogre said he won the lane,0,neutral
have you guys won a fight ,0,neutral
wrong neighbourhood,0,neutral
ur mom is fuckin joke,2,toxic
go fuck yourself,2,banter
and reach smth,0,neutral
fattest cock ever,1,banter
a mid hero took the tome wtf,1,neutral
ty  ur noobness im now ancient,2,banter
we are party,0,neutral
what the fuck is up with your phantom grimstroke,1,banter
this is hearld you cringe fucker,2,banter
go play minecraft matthew,0,neutral
clock,0,neutral
puidge asshol,2,banter
