message, target
u have gay hero,2
haters,0
fuck this game,1
wtf ur mom came back my ,2
fuck your mother in teh asshole,2
fucking apes,2
after this game,0
lc u r such a shit eater,2
riki got a fuciking fly ,1
a fuckcing fly on riki this game ,1
my team pause sorry,0
can we go next ,0
go to this whore,2
u understand that if by some miracle,0
with your mom,2
throne,0
did i fucked your mother  ,2
incompetenct cores blaming support,0
piece of trash,2
     to     ,0
pussy bitch,2
medalion or force,0
ching chong wanna be,2
that doesn count,0
wtf u talkin about ,1
stuid team,2
suck,0
wdym  you talk to me  st,0
seriously can you guys just end this shit,1
jugger playing world of warcraft killin creeps,0
i m divine   but i m fucking u in the ass xd,2
this invo is so trash,2
no buy still come out farm,0
dont rat man its so loserish,0
eather play or stop wasting time you idiots,2
imagine thinking u can go offlane wk first item fucking radiance lol,1
it seems your mom didnt breastfeed you yesterday,2
i cant understand that shit,1
you guys are tired,0
so is peru,0
beast u smell penis with cheese ,2
another notch,0
if you re playin  me  keep it on the low cause my heart can t take it anymore,0
fuckin pl pickers,1
get in the photo,0
our noob pa will farm till next year,2
and help,0
i want to try but  i dont have persona,0
all chat ,0
nice csing dog,2
  o,0
with the rotation bot,0
vs   creep waves,0
ill just slit your throat,2
depression is for pussies,1
let me see how good of a server u have ape ,2
so when you masturbate to sleep  do you press your knees together or wide apart like your asshole is ready to get reamed apart ,2
lycan tergentot sedunia  ,0
your morons were worse than our morons,2
btch,1
where swm,0
opinions on powell s increase in rates  ,0
ogre alone is raping them,1
cant hit us,0
report pudge and zeus total retards,2
fuck this broodmama,2
when hes learning hero,0
this shit jug jz simply say i die back,1
highlight,0
this mothfecfucker primal tp mid,1
puck are you done with your acrobatics ,0
he prob gay,2
sry for the waste of time    what a sht game ,1
sorry  i had a father in my life,0
cant believe the cumback,1
boring,0
grey screen,0
bh reported for griefing,0
benched for a reason,0
pa is crying cos got raped on top,2
damn ember you are pretty heavy to be allchatting,1
you are so retarded and bad,2
u boys are playing like its ti,0
we can tell,0
zzzz we have another depressive kiddo here,2
its literally just a game,0
but still noob,1
he s dead,0
use battlefury jugg,0
clown    ,0
my rubick is an impulsive son of whore whose mom dropped him at birth,2
wioth ur dogshit meepo ,2
and still fuck u easly,1
i only kill him twice lol,0
suck dick bitch,2
otucarrying rank  ,0
rosh all towers,0
stop playing u retards,2
and he cry like a dog,2
type,0
she is a man,0
this idiot cant fucking use  spells together,2
wtf is this,1
cory new player ,0
sf and nyx suck,2
surewin,0
i needed tha rune man   ,0
does eljean know your a faggot ,2
thank god i didnt have lastpick this game so pink is stuck with you puck,0
thats a nice streak  would be a shame if you lost it,0
fak how do u use this,1
lycan and silencer,0
china gonna rule the world,0
eziest game of my fucking life,1
need   or  ,0
dickhead moron,2
bbc for you this game,0
can u fuck off ,1
the fucking difference is when i target cm we win the fight,1
toxic,0
even when he is thanking me,0
the machine,0
u should try maybe meepo,0
the last pick uyndying,0
if you cant play core bro,0
because none of u idiots were there,1
what a noob sniper,2
learn english,0
muslim son of whore like u ,2
i hurt the ones i love,0
noob core ff underlord with vanguard xaxa,2
every fucking game,1
when u sex with a girl,0
won for u,0
ty bro,0
how the fuck,1
stfu tree,1
why no money idiot  ,1
afk is choice,0
he puts,0
party with eazy heart or ruin,0
i hope your cock werks,2
and report morf,0
i fuck your dad,2
wtf comback,1
nobody to follow up ,0
waste my csgo time,0
in chrono,0
carried by kka ,0
feeding,0
is fucking u ,1
the loudest are always the foolish,0
i honestly think,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
account buyer dog,2
pocanam legche budet,0
this idiot chasing bs,2
wtf is that radius,1
whats is country krym ,0
our noob timber ,2
too many apes,2
want some ethereal ,0
hoy tang ina mo bobo ka sa mid,2
eat my entire ass,2
who was the noob  bh ,1
hope your retarded mother dies in front of your eyes,2
stupid bitch woman cm,2
why bro ,0
this idiot,1
cachandote,0
pa fed   kills though,0
whos gonna carry the retards,1
unpause ,0
wtf sk think he is,1
ok then,0
we wait for sf ,0
your mother takes my banana,2
fuck that guy,1
cant support thsi shit noob teammates,2
he s a greedy bastard   ,1
who,0
fk u play ur rank cunt,2
first win,0
as a whole,0
enjoy this treads dog pos  with you next,2
ass hole spotted,2
from the lane,0
clinkz is trash,2
 c,0
  morons atacking pudge non stop,1
nice actor chingchong,2
i was just tryna chill man wtf lol,1
two aghs,0
pick pa again and u lose idiot,2
exactly  be quiet then,0
did you try one shotting your parents dissapointment ,1
or your noob ,1
fucking monkeys in team,2
send to gof,0
ashei fassio,0
how is everyone doing    ,0
pls wait,0
who,0
i mean no,0
why u use chat ,0
offlane feeders and abusers,0
we want to play fair,0
can you fuck off ,1
green is talking shit yall,1
see the difference in my and jug lvl n farms,0
we have noob drow and pudge,2
worst subhuman,0
o home he imortal,0
world full of gays,2
help us report this trash fuck pa,2
try hard moron marci,2
ina mall ,2
gg close game,0
horribl,0
than ua re gay,2
where is lina ,0
when ur carry sucks y lose,1
